route,route_type,parent_hub,canonical,sitemap,robots,status
/concerns/pigmentation/sunspots,concern,/concerns/pigmentation,/concerns/pigmentation/sunspots,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/pigmentation/uneven-skin-tone,concern,/concerns/pigmentation,/concerns/pigmentation/uneven-skin-tone,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/pigmentation/tanning,concern,/concerns/pigmentation,/concerns/pigmentation/tanning,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/pigmentation/lip-pigmentation,concern,/concerns/pigmentation,/concerns/pigmentation/lip-pigmentation,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/pigmentation/under-eye-dark-circles,concern,/concerns/pigmentation,/concerns/pigmentation/under-eye-dark-circles,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/skin-texture/enlarged-pores,concern,/concerns/skin-texture,/concerns/skin-texture/enlarged-pores,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/skin-texture/rough-skin-texture,concern,/concerns/skin-texture,/concerns/skin-texture/rough-skin-texture,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/skin-texture/dull-skin,concern,/concerns/skin-texture,/concerns/skin-texture/dull-skin,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/skin-texture/fine-lines,concern,/concerns/skin-texture,/concerns/skin-texture/fine-lines,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/skin-texture/dehydrated-skin,concern,/concerns/skin-texture,/concerns/skin-texture/dehydrated-skin,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/aging-aesthetics/skin-laxity,concern,/concerns/aging-aesthetics,/concerns/aging-aesthetics/skin-laxity,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/aging-aesthetics/facial-volume-loss,concern,/concerns/aging-aesthetics,/concerns/aging-aesthetics/facial-volume-loss,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/aging-aesthetics/forehead-lines,concern,/concerns/aging-aesthetics,/concerns/aging-aesthetics/forehead-lines,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/aging-aesthetics/under-eye-bags,concern,/concerns/aging-aesthetics,/concerns/aging-aesthetics/under-eye-bags,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/laser-hair-reduction/unwanted-facial-hair,concern,/concerns/laser-hair-reduction,/concerns/laser-hair-reduction/unwanted-facial-hair,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/laser-hair-reduction/ingrown-hair,concern,/concerns/laser-hair-reduction,/concerns/laser-hair-reduction/ingrown-hair,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/laser-hair-reduction/strawberry-legs,concern,/concerns/laser-hair-reduction,/concerns/laser-hair-reduction/strawberry-legs,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/laser-hair-reduction/laser-hair-reduction-suitability,concern,/concerns/laser-hair-reduction,/concerns/laser-hair-reduction/laser-hair-reduction-suitability,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/laser-hair-reduction/laser-hair-removal-dark-skin,concern,/concerns/laser-hair-reduction,/concerns/laser-hair-reduction/laser-hair-removal-dark-skin,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/scars-stretch-marks/stretch-marks,concern,/concerns/scars-stretch-marks,/concerns/scars-stretch-marks/stretch-marks,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/scars-stretch-marks/surgical-scars,concern,/concerns/scars-stretch-marks,/concerns/scars-stretch-marks/surgical-scars,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/scars-stretch-marks/traumatic-scars,concern,/concerns/scars-stretch-marks,/concerns/scars-stretch-marks/traumatic-scars,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/scars-stretch-marks/raised-scars-keloids,concern,/concerns/scars-stretch-marks,/concerns/scars-stretch-marks/raised-scars-keloids,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/other-skin-concerns/moles-and-warts,concern,/concerns/other-skin-concerns,/concerns/other-skin-concerns/moles-and-warts,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/other-skin-concerns/rosacea-redness,concern,/concerns/other-skin-concerns,/concerns/other-skin-concerns/rosacea-redness,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
/concerns/other-skin-concerns/excessive-sweating,concern,/concerns/other-skin-concerns,/concerns/other-skin-concerns/excessive-sweating,false,"noindex,nofollow",READY_FOR_MEDICAL_REVIEW
